artist_name,danceability,energy,acousticness,valence
Pritam,0.7737,0.6763,0.0772,0.6011
Shankar-Ehsaan-Loy,0.6897,0.773,0.0836,0.7504
Jubin Nautiyal,0.4074,0.3058,0.5576,0.4297
Arijit Singh,0.3281,0.3386,0.6587,0.1832
Nucleya,0.6364,0.8849,0.0333,0.3933
Jubin Nautiyal,0.4749,0.3497,0.6427,0.4445
Shreya Ghoshal,0.5419,0.4453,0.8295,0.5132
Badshah,0.8563,0.7967,0.0519,0.8242
AP Dhillon,0.7306,0.4338,0.0623,0.3296
Shreya Ghoshal,0.5126,0.3905,0.8484,0.4819
AP Dhillon,0.6684,0.5086,0.1143,0.1591
Arijit Singh,0.3857,0.3897,0.831,0.1934
Yo Yo Honey Singh,0.7259,0.733,0.0427,0.7004
Badshah,0.8274,0.7818,0.066,0.7926
Jubin Nautiyal,0.429,0.3313,0.5946,0.2571
Badshah,0.8718,0.8305,0.0518,0.9109
Jubin Nautiyal,0.4081,0.3035,0.5364,0.3611
AP Dhillon,0.6097,0.5259,0.1138,0.282
Yo Yo Honey Singh,0.8098,0.8269,0.0284,0.7154
Pritam,0.8289,0.7858,0.0917,0.4446
Yo Yo Honey Singh,0.8342,0.7789,0.0595,0.6521
Shankar-Ehsaan-Loy,0.7556,0.7512,0.0524,0.6765
Jubin Nautiyal,0.46,0.2974,0.543,0.441
Badshah,0.804,0.7792,0.069,0.8703
A.R. Rahman,0.585,0.4881,0.4894,0.432
Yo Yo Honey Singh,0.8352,0.9249,0.0354,0.6356
Shankar-Ehsaan-Loy,0.6736,0.7306,0.1237,0.7276
Nucleya,0.7385,0.9204,0.0158,0.5782
Nucleya,0.7063,0.9533,0.0428,0.5062
AP Dhillon,0.6132,0.4105,0.1458,0.1916
Badshah,0.8062,0.8056,0.0875,0.871
Arijit Singh,0.3148,0.3902,0.7457,0.2142
Badshah,0.7933,0.7802,0.0627,0.8213
Badshah,0.8688,0.8063,0.0113,0.8542
Jubin Nautiyal,0.4562,0.3226,0.5474,0.2884
Pritam,0.855,0.8312,0.1293,0.6274
Shankar-Ehsaan-Loy,0.7714,0.7211,0.113,0.5537
A.R. Rahman,0.634,0.5629,0.4271,0.6923
Jubin Nautiyal,0.486,0.3155,0.5987,0.4225
Yo Yo Honey Singh,0.8479,0.8332,0.0195,0.7429
A.R. Rahman,0.5423,0.5283,0.5274,0.5705
Jubin Nautiyal,0.4333,0.3307,0.5251,0.4454
Nucleya,0.6167,0.9173,0.0292,0.5616
Arijit Singh,0.39,0.314,0.7249,0.253
AP Dhillon,0.6567,0.5771,0.1433,0.3442
Badshah,0.8641,0.7474,0.0935,0.8421
Badshah,0.908,0.8387,0.0583,0.914
Yo Yo Honey Singh,0.6938,0.8207,0.0827,0.7369
Badshah,0.7972,0.8833,0.0608,0.8746
Yo Yo Honey Singh,0.7959,0.8496,0.0549,0.7379
Shreya Ghoshal,0.5383,0.4501,0.6919,0.512
Jubin Nautiyal,0.5217,0.2727,0.6012,0.3472
Yo Yo Honey Singh,0.756,0.8135,0.0357,0.6493
Badshah,0.8808,0.8269,0.0315,0.8397
Yo Yo Honey Singh,0.7456,0.928,0.075,0.7181
Jubin Nautiyal,0.4375,0.3637,0.5014,0.4268
Jubin Nautiyal,0.4675,0.2816,0.5874,0.3066
Nucleya,0.6541,0.8352,0.0226,0.4751
Nucleya,0.8222,0.9758,0.0324,0.5241
A.R. Rahman,0.5063,0.5852,0.4116,0.4236
Pritam,0.8367,0.8361,0.0662,0.638
Badshah,0.9056,0.8065,0.0588,0.8423
Nucleya,0.7782,0.8627,0.0171,0.3707
AP Dhillon,0.7016,0.4119,0.1566,0.2913
AP Dhillon,0.6509,0.5061,0.1378,0.2634
Shreya Ghoshal,0.5199,0.4314,0.8426,0.5195
Pritam,0.858,0.8025,0.0825,0.6026
Jubin Nautiyal,0.4571,0.3528,0.6199,0.4313
AP Dhillon,0.5823,0.5297,0.184,0.0948
A.R. Rahman,0.5076,0.7376,0.6194,0.5387
Jubin Nautiyal,0.5264,0.3518,0.5827,0.4084
A.R. Rahman,0.5148,0.6211,0.4835,0.5812
Shreya Ghoshal,0.4035,0.4311,0.9214,0.5505
A.R. Rahman,0.537,0.6248,0.4555,0.6975
Badshah,0.8672,0.8938,0.0672,0.7951
Shankar-Ehsaan-Loy,0.634,0.7976,0.0881,0.6628
Yo Yo Honey Singh,0.8584,0.7612,0.0229,0.6958
A.R. Rahman,0.526,0.6136,0.383,0.5835
Jubin Nautiyal,0.4156,0.274,0.5899,0.2762
Shankar-Ehsaan-Loy,0.5965,0.6001,0.108,0.7226
AP Dhillon,0.582,0.3664,0.1003,0.3201
Jubin Nautiyal,0.4239,0.3175,0.673,0.4389
Yo Yo Honey Singh,0.7431,0.7589,0.0661,0.7283
Nucleya,0.6403,0.8994,0.0254,0.5271
Shankar-Ehsaan-Loy,0.5689,0.5922,0.1155,0.6734
Shankar-Ehsaan-Loy,0.6661,0.721,0.0288,0.5239
Shreya Ghoshal,0.5674,0.4769,0.7536,0.5785
Jubin Nautiyal,0.4547,0.2622,0.6127,0.3975
Badshah,0.8576,0.81,0.0683,0.8784
Shreya Ghoshal,0.5835,0.405,0.8173,0.5682
AP Dhillon,0.7126,0.5219,0.1544,0.3527
Shankar-Ehsaan-Loy,0.6987,0.7512,0.0072,0.7348
Jubin Nautiyal,0.411,0.3594,0.6969,0.4276
Nucleya,0.6416,0.9793,0.0227,0.3881
Nucleya,0.6438,0.9201,0.0194,0.46
A.R. Rahman,0.6385,0.5323,0.5035,0.616
Shreya Ghoshal,0.4863,0.3603,0.6463,0.5366
AP Dhillon,0.684,0.5316,0.1792,0.1675
Pritam,0.7315,0.7738,0.0481,0.5993
Nucleya,0.6673,0.9417,0.0266,0.5002
Nucleya,0.6319,0.8998,0.022,0.4415
Yo Yo Honey Singh,0.877,0.8786,0.0344,0.7938
Badshah,0.8537,0.7916,0.0918,0.8638
Pritam,0.7367,0.7059,0.0555,0.5206
Jubin Nautiyal,0.4307,0.3235,0.5831,0.3897
Yo Yo Honey Singh,0.764,0.7538,0.0149,0.7071
AP Dhillon,0.6067,0.471,0.0961,0.1621
Badshah,0.836,0.8456,0.0615,0.8684
Shreya Ghoshal,0.6448,0.4671,0.7988,0.5316
A.R. Rahman,0.4986,0.6066,0.4966,0.7165
Pritam,0.8693,0.7457,0.1287,0.6268
Jubin Nautiyal,0.3676,0.2201,0.6108,0.3649
Arijit Singh,0.3736,0.2927,0.6075,0.2942
Yo Yo Honey Singh,0.7451,0.8344,0.0382,0.6928
AP Dhillon,0.6201,0.5148,0.0703,0.1789
A.R. Rahman,0.5978,0.5833,0.5458,0.7891
Shankar-Ehsaan-Loy,0.6846,0.7714,0.1033,0.6773
Jubin Nautiyal,0.4882,0.4405,0.541,0.3041
Arijit Singh,0.4218,0.2822,0.7571,0.3809
Shreya Ghoshal,0.4738,0.416,0.926,0.5327
Yo Yo Honey Singh,0.7881,0.8233,0.0504,0.6552
Shreya Ghoshal,0.4089,0.3986,0.8534,0.5903
Yo Yo Honey Singh,0.7849,0.8673,0.0361,0.8083
A.R. Rahman,0.5975,0.5758,0.4336,0.6585
AP Dhillon,0.5481,0.4896,0.1451,0.3757
Arijit Singh,0.4614,0.2672,0.6008,0.2761
Shankar-Ehsaan-Loy,0.6411,0.6935,0.1098,0.6238
Nucleya,0.7222,0.9169,0.0272,0.4711
Badshah,0.7711,0.8193,0.054,0.7884
Yo Yo Honey Singh,0.7657,0.8582,0.0614,0.6428
Pritam,0.7453,0.8526,0.1259,0.5943
Jubin Nautiyal,0.4483,0.3546,0.6002,0.5719
Yo Yo Honey Singh,0.8803,0.696,0.0641,0.6638
Shankar-Ehsaan-Loy,0.5883,0.7671,0.0662,0.7187
A.R. Rahman,0.5938,0.6708,0.4126,0.6099
Nucleya,0.63,0.8928,0.022,0.5154
Nucleya,0.6498,0.9672,0.0431,0.5691
Shreya Ghoshal,0.4363,0.4457,0.7888,0.619
Pritam,0.764,0.8179,0.1009,0.6195
A.R. Rahman,0.5551,0.5671,0.4529,0.597
Pritam,0.7307,0.749,0.0527,0.7179
AP Dhillon,0.6789,0.4966,0.1108,0.225
Yo Yo Honey Singh,0.7606,0.8102,0.0536,0.7778
Pritam,0.758,0.7098,0.076,0.6364
A.R. Rahman,0.6093,0.4298,0.4521,0.5518
Nucleya,0.7343,0.911,0.0444,0.4437
Shankar-Ehsaan-Loy,0.6531,0.7659,0.094,0.5915
AP Dhillon,0.6768,0.4973,0.0991,0.1082
A.R. Rahman,0.5074,0.5569,0.4161,0.6667
Nucleya,0.6422,0.9855,0.0222,0.5588
Yo Yo Honey Singh,0.8191,0.7344,0.0321,0.7175
Shankar-Ehsaan-Loy,0.5838,0.7901,0.1269,0.7069
Pritam,0.7404,0.7291,0.0492,0.5739
A.R. Rahman,0.6068,0.5081,0.5255,0.723
Jubin Nautiyal,0.4226,0.3125,0.5575,0.5454
Pritam,0.7072,0.7623,0.043,0.6667
Jubin Nautiyal,0.4998,0.2538,0.5409,0.4264
Arijit Singh,0.3358,0.3592,0.7241,0.2
Shreya Ghoshal,0.5582,0.4456,0.7612,0.6743
Shankar-Ehsaan-Loy,0.7422,0.6848,0.1502,0.7462
AP Dhillon,0.5936,0.4946,0.1413,0.2793
A.R. Rahman,0.5376,0.4761,0.4207,0.5772
Badshah,0.8135,0.9033,0.052,0.8265
Nucleya,0.695,0.9523,0.0274,0.4381
Shreya Ghoshal,0.4286,0.5186,0.746,0.5947
Arijit Singh,0.3259,0.387,0.7615,0.2583
A.R. Rahman,0.3933,0.4303,0.4115,0.6366
Shreya Ghoshal,0.5101,0.4991,0.7396,0.6298
Jubin Nautiyal,0.4377,0.3422,0.5631,0.4246
Badshah,0.7694,0.826,0.0554,0.8558
Pritam,0.7073,0.8014,0.0289,0.5607
Shankar-Ehsaan-Loy,0.6726,0.6845,0.1094,0.7525
Arijit Singh,0.3449,0.3303,0.6926,0.1776
Yo Yo Honey Singh,0.8118,0.753,0.0323,0.7077
Arijit Singh,0.4861,0.4119,0.6136,0.2461
Jubin Nautiyal,0.4056,0.4426,0.6487,0.3773
Arijit Singh,0.3312,0.4132,0.6535,0.4643
A.R. Rahman,0.5433,0.4579,0.4536,0.5334
Nucleya,0.675,0.946,0.0242,0.6962
Shankar-Ehsaan-Loy,0.6846,0.7361,0.1557,0.7388
Jubin Nautiyal,0.4429,0.3434,0.687,0.4355
Shreya Ghoshal,0.5778,0.4186,0.74,0.5147
Pritam,0.7001,0.8244,0.0886,0.5897
AP Dhillon,0.6897,0.6192,0.0381,0.125
Arijit Singh,0.408,0.4148,0.7784,0.3121
Shreya Ghoshal,0.5503,0.383,0.7665,0.473
Shankar-Ehsaan-Loy,0.673,0.7318,0.0912,0.7336
Nucleya,0.7434,0.9587,0.0372,0.6456
Nucleya,0.8426,0.9408,0.0321,0.5492
Shreya Ghoshal,0.4988,0.4018,0.848,0.4369
Arijit Singh,0.3003,0.314,0.7204,0.2833
Yo Yo Honey Singh,0.8545,0.9183,0.0112,0.7065
Jubin Nautiyal,0.3592,0.3882,0.5286,0.3433
Nucleya,0.7286,0.891,0.0305,0.51
Jubin Nautiyal,0.5663,0.3035,0.5457,0.4731
Yo Yo Honey Singh,0.8596,0.7927,0.0,0.636
Badshah,0.8774,0.8242,0.0708,0.8353
Yo Yo Honey Singh,0.7674,0.7694,0.0294,0.8012
Jubin Nautiyal,0.4065,0.382,0.5376,0.5278
Shankar-Ehsaan-Loy,0.648,0.7639,0.1458,0.6256
AP Dhillon,0.6508,0.6758,0.028,0.2477
Pritam,0.7006,0.7601,0.096,0.6064
Shreya Ghoshal,0.4812,0.42,0.725,0.5923
A.R. Rahman,0.4542,0.759,0.5329,0.6085
Badshah,0.9232,0.8155,0.0827,0.8123
Shreya Ghoshal,0.5013,0.4338,0.7244,0.5069
AP Dhillon,0.7439,0.4336,0.0783,0.3035
Pritam,0.7266,0.7897,0.0396,0.6011
Arijit Singh,0.4782,0.3521,0.671,0.295
AP Dhillon,0.6268,0.4312,0.1761,0.4124
Nucleya,0.7238,0.9757,0.0302,0.5254
AP Dhillon,0.5657,0.6338,0.056,0.2633
Pritam,0.7549,0.7379,0.1025,0.6458
Shankar-Ehsaan-Loy,0.6311,0.7918,0.0793,0.6738
Jubin Nautiyal,0.3806,0.3455,0.6244,0.429
Shankar-Ehsaan-Loy,0.6892,0.8143,0.0648,0.7044
Shreya Ghoshal,0.4527,0.3827,0.7899,0.517
Badshah,0.8733,0.7981,0.0942,0.8462
Shankar-Ehsaan-Loy,0.6346,0.6681,0.061,0.7292
Shreya Ghoshal,0.3965,0.3793,0.8716,0.4813
A.R. Rahman,0.495,0.4895,0.4843,0.6577
Nucleya,0.7038,0.9268,0.0215,0.5486
Pritam,0.7447,0.8323,0.0699,0.5061
Arijit Singh,0.4213,0.3988,0.8114,0.2815
Nucleya,0.7367,0.8979,0.0113,0.6636
Arijit Singh,0.385,0.3198,0.6115,0.2848
Badshah,0.8009,0.8503,0.0978,0.7758
Shankar-Ehsaan-Loy,0.7242,0.8263,0.0956,0.6528
Badshah,0.7922,0.8803,0.0486,0.8021
Jubin Nautiyal,0.4898,0.2922,0.4805,0.5051
Arijit Singh,0.3666,0.2836,0.9001,0.2841
Jubin Nautiyal,0.5123,0.3398,0.6522,0.296
Shankar-Ehsaan-Loy,0.7079,0.6384,0.1018,0.7191
Pritam,0.7286,0.7661,0.0489,0.5858
Nucleya,0.6525,0.8793,0.0386,0.5648
Shreya Ghoshal,0.4417,0.3372,0.7624,0.6104
Yo Yo Honey Singh,0.8499,0.8591,0.0387,0.6985
Nucleya,0.8033,0.9259,0.0158,0.4486
Nucleya,0.641,0.9069,0.05,0.4754
A.R. Rahman,0.6725,0.7105,0.3566,0.6552
Shreya Ghoshal,0.522,0.5303,0.7866,0.5255
Badshah,0.9147,0.845,0.077,0.8812
Jubin Nautiyal,0.371,0.2935,0.5777,0.5256
Nucleya,0.6697,0.9775,0.0317,0.501
Badshah,0.9097,0.8891,0.0533,0.7303
A.R. Rahman,0.5623,0.8388,0.4894,0.5749
Pritam,0.7172,0.7494,0.1136,0.6009
Pritam,0.8791,0.8214,0.1148,0.5646
Arijit Singh,0.2787,0.3612,0.6737,0.3397
Jubin Nautiyal,0.4099,0.346,0.4685,0.4308
Yo Yo Honey Singh,0.7682,0.7717,0.0774,0.6689
Arijit Singh,0.3505,0.401,0.745,0.2315
Arijit Singh,0.3685,0.3918,0.8494,0.3589
Pritam,0.8045,0.7239,0.057,0.6048
Badshah,0.9048,0.891,0.0566,0.8749
Badshah,0.9009,0.8324,0.0485,0.8059
Yo Yo Honey Singh,0.6874,0.8168,0.0345,0.7782
Shreya Ghoshal,0.4622,0.512,0.7679,0.4305
Jubin Nautiyal,0.4485,0.2593,0.5722,0.3367
Arijit Singh,0.4113,0.2986,0.645,0.3138
Yo Yo Honey Singh,0.8276,0.7633,0.034,0.6224
Nucleya,0.7085,0.9483,0.0418,0.5327
Shreya Ghoshal,0.492,0.3615,0.8664,0.5416
Shreya Ghoshal,0.4997,0.4601,0.7345,0.5229
Arijit Singh,0.379,0.357,0.8094,0.2386
Nucleya,0.7336,0.9457,0.0197,0.4613
Badshah,0.9004,0.8382,0.0876,0.7864
A.R. Rahman,0.5162,0.551,0.4993,0.5714
Nucleya,0.6671,0.776,0.023,0.4299
Shankar-Ehsaan-Loy,0.7171,0.7816,0.0924,0.6661
Pritam,0.6865,0.7169,0.0567,0.6055
AP Dhillon,0.7157,0.3968,0.0907,0.273
Arijit Singh,0.4196,0.2954,0.8182,0.1819
Shankar-Ehsaan-Loy,0.6242,0.8759,0.079,0.6823
Yo Yo Honey Singh,0.781,0.7365,0.0366,0.7559
Pritam,0.8131,0.7612,0.1205,0.6905
AP Dhillon,0.7136,0.5497,0.1415,0.2766
Shankar-Ehsaan-Loy,0.5603,0.7802,0.0175,0.6578
Shreya Ghoshal,0.4714,0.4725,0.8158,0.5636
Badshah,0.8379,0.7961,0.1058,0.9134
Badshah,0.8987,0.8598,0.0528,0.8571
Nucleya,0.7213,0.9023,0.0215,0.4485
Badshah,0.8802,0.8574,0.0362,0.8539
Arijit Singh,0.3807,0.4372,0.7015,0.4704
Yo Yo Honey Singh,0.7499,0.7539,0.0209,0.7511
Arijit Singh,0.3629,0.3277,0.6215,0.2256
Jubin Nautiyal,0.4041,0.3747,0.5594,0.4873
AP Dhillon,0.5861,0.6323,0.1225,0.3038
Shreya Ghoshal,0.4785,0.3811,0.8447,0.5373
Nucleya,0.7419,0.8636,0.0344,0.5681
A.R. Rahman,0.6287,0.5733,0.5052,0.5184
Yo Yo Honey Singh,0.8065,0.681,0.0034,0.757
A.R. Rahman,0.5143,0.6028,0.2609,0.5473
Shreya Ghoshal,0.4608,0.3102,0.8307,0.6462
Shreya Ghoshal,0.5417,0.4709,0.7824,0.545
Badshah,0.8674,0.8581,0.0941,0.7815
Shreya Ghoshal,0.4803,0.4562,0.7674,0.5386
Jubin Nautiyal,0.4178,0.2858,0.5679,0.5198
Yo Yo Honey Singh,0.7103,0.8542,0.0032,0.7739
Jubin Nautiyal,0.3802,0.3522,0.6638,0.3573
Arijit Singh,0.288,0.2732,0.6763,0.2818
Shankar-Ehsaan-Loy,0.6252,0.6806,0.134,0.7092
Yo Yo Honey Singh,0.7982,0.7573,0.0658,0.7233
Badshah,0.859,0.8313,0.0612,0.7898
Jubin Nautiyal,0.4463,0.3085,0.5886,0.438
Nucleya,0.6315,0.9043,0.0451,0.4136
AP Dhillon,0.5645,0.5584,0.1657,0.1418
Shreya Ghoshal,0.4808,0.4291,0.7499,0.6963
Yo Yo Honey Singh,0.8165,0.7593,0.0327,0.7503
Jubin Nautiyal,0.3877,0.3568,0.663,0.4503
Nucleya,0.7024,0.9267,0.0454,0.5195
Badshah,0.8982,0.8887,0.104,0.8022
AP Dhillon,0.6906,0.4409,0.045,0.2436
Arijit Singh,0.3539,0.4129,0.6707,0.1814
Shreya Ghoshal,0.5661,0.5375,0.7262,0.5848
Badshah,0.9179,0.8775,0.0565,0.8241
Yo Yo Honey Singh,0.705,0.7936,0.0123,0.7741
Arijit Singh,0.3839,0.2983,0.8266,0.3177
Shreya Ghoshal,0.4447,0.3598,0.8124,0.5549
Yo Yo Honey Singh,0.8594,0.7518,0.0317,0.6765
Yo Yo Honey Singh,0.7342,0.8655,0.0345,0.6797
Pritam,0.7919,0.7929,0.1159,0.4937
Shankar-Ehsaan-Loy,0.6911,0.7797,0.1001,0.709
Shreya Ghoshal,0.5185,0.3965,0.8161,0.526
Jubin Nautiyal,0.4432,0.2312,0.5142,0.3899
A.R. Rahman,0.3465,0.57,0.3769,0.4695
Arijit Singh,0.3436,0.3351,0.7148,0.3234
A.R. Rahman,0.6215,0.7671,0.3331,0.4496
Shreya Ghoshal,0.4984,0.4368,0.7514,0.5797
Yo Yo Honey Singh,0.8016,0.7137,0.0404,0.8216
Jubin Nautiyal,0.3848,0.2224,0.6072,0.5745
Shankar-Ehsaan-Loy,0.8253,0.7317,0.1292,0.6345
Jubin Nautiyal,0.4219,0.274,0.4894,0.4813
Badshah,0.8447,0.7872,0.0667,0.8068
Nucleya,0.6025,0.9037,0.0301,0.5451
Arijit Singh,0.358,0.3578,0.8209,0.1795
Yo Yo Honey Singh,0.7816,0.8351,0.0134,0.7903
Badshah,0.8272,0.8229,0.0548,0.8106
Badshah,0.9655,0.8521,0.0523,0.7097
Shreya Ghoshal,0.3812,0.4649,0.7356,0.5667
Yo Yo Honey Singh,0.8569,0.82,0.0462,0.6524
Nucleya,0.6202,0.8776,0.041,0.4692
Badshah,0.8612,0.8607,0.0404,0.7498
Badshah,0.8743,0.7921,0.0301,0.7138
AP Dhillon,0.5633,0.4975,0.0934,0.1402
Shreya Ghoshal,0.517,0.4045,0.8352,0.5168
Yo Yo Honey Singh,0.8499,0.8564,0.0174,0.6706
Badshah,0.9839,0.8297,0.0702,0.7875
A.R. Rahman,0.5111,0.6164,0.3638,0.5683
Shreya Ghoshal,0.5369,0.4922,0.7916,0.5185
Badshah,0.8421,0.7914,0.0158,0.8085
A.R. Rahman,0.5453,0.5427,0.5146,0.719
Badshah,0.8554,0.8459,0.0448,0.8305
Yo Yo Honey Singh,0.8097,0.8655,0.0385,0.7089
Yo Yo Honey Singh,0.7803,0.7619,0.0248,0.6964
Shreya Ghoshal,0.5967,0.4738,0.7839,0.4876
A.R. Rahman,0.4997,0.6596,0.4444,0.5949
Shreya Ghoshal,0.5061,0.5129,0.7257,0.4473
AP Dhillon,0.6029,0.4447,0.1196,0.2349
Pritam,0.784,0.8164,0.0592,0.5539
Yo Yo Honey Singh,0.8047,0.8903,0.0933,0.7258
Jubin Nautiyal,0.4314,0.3742,0.6257,0.2897
Shreya Ghoshal,0.5099,0.4231,0.8104,0.5671
AP Dhillon,0.5642,0.3966,0.083,0.3334
Jubin Nautiyal,0.4721,0.3965,0.5938,0.4496
AP Dhillon,0.7002,0.5094,0.124,0.2888
A.R. Rahman,0.5138,0.5843,0.4435,0.5403
Shreya Ghoshal,0.5242,0.4185,0.7458,0.5727
Shankar-Ehsaan-Loy,0.7165,0.7615,0.1779,0.7518
Nucleya,0.7783,0.9563,0.0229,0.6768
Jubin Nautiyal,0.4331,0.2688,0.5654,0.3405
Shankar-Ehsaan-Loy,0.7284,0.7268,0.0561,0.7794
Pritam,0.7441,0.7285,0.0763,0.6216
Shreya Ghoshal,0.541,0.338,0.8727,0.5683
A.R. Rahman,0.5727,0.5082,0.4668,0.3607
Yo Yo Honey Singh,0.8399,0.7722,0.0402,0.7144
AP Dhillon,0.6435,0.5012,0.0712,0.3412
Arijit Singh,0.4867,0.2329,0.7094,0.3212
Badshah,0.8276,0.8547,0.0452,0.8632
Jubin Nautiyal,0.3787,0.2568,0.5957,0.4733
Arijit Singh,0.3111,0.2937,0.7561,0.316
Arijit Singh,0.3936,0.2734,0.6443,0.3537
Yo Yo Honey Singh,0.7562,0.833,0.0323,0.5957
A.R. Rahman,0.4186,0.6496,0.4092,0.5048
Jubin Nautiyal,0.3795,0.36,0.6872,0.4853
Pritam,0.7571,0.8392,0.0903,0.5958
Shreya Ghoshal,0.5096,0.4501,0.867,0.6514
Pritam,0.7616,0.8145,0.1126,0.6484
Nucleya,0.6884,0.9226,0.0381,0.4325
Pritam,0.7394,0.7431,0.0312,0.7416
Shankar-Ehsaan-Loy,0.5438,0.7043,0.0649,0.687
Shankar-Ehsaan-Loy,0.6193,0.7309,0.0688,0.6618
Pritam,0.7471,0.8341,0.0761,0.5404
Shreya Ghoshal,0.5246,0.4055,0.8404,0.683
Badshah,0.8526,0.7405,0.0556,0.8685
Pritam,0.7393,0.7302,0.0965,0.7261
Shreya Ghoshal,0.4382,0.3388,0.7087,0.6279
Nucleya,0.6915,0.874,0.0281,0.5596
Nucleya,0.7468,0.9172,0.0309,0.4777
Shankar-Ehsaan-Loy,0.6568,0.7169,0.1067,0.7462
AP Dhillon,0.6527,0.5861,0.0902,0.0827
Jubin Nautiyal,0.4618,0.3752,0.4146,0.3293
Badshah,0.8644,0.8233,0.06,0.8966
Shreya Ghoshal,0.4444,0.4343,0.8585,0.5851
Arijit Singh,0.3487,0.4587,0.7695,0.2406
Badshah,0.8735,0.8003,0.0604,0.7467
A.R. Rahman,0.5094,0.6192,0.5,0.6378
Badshah,0.8874,0.7539,0.0689,0.7881
Shreya Ghoshal,0.6197,0.6066,0.8364,0.5372
AP Dhillon,0.6053,0.5639,0.1469,0.28
Badshah,0.8654,0.8379,0.0571,0.8222
A.R. Rahman,0.5463,0.7363,0.5598,0.595
Pritam,0.7966,0.8069,0.1015,0.7676
Arijit Singh,0.4401,0.3255,0.5773,0.2094
Pritam,0.7214,0.6913,0.0594,0.5568
Arijit Singh,0.3565,0.3826,0.6876,0.2474
Pritam,0.7916,0.7563,0.0568,0.7127
Nucleya,0.5453,0.9278,0.0492,0.4717
Yo Yo Honey Singh,0.8201,0.866,0.0422,0.6656
Jubin Nautiyal,0.4127,0.3496,0.4765,0.4128
Yo Yo Honey Singh,0.84,0.903,0.0512,0.7106
Badshah,0.8836,0.8312,0.0613,0.8014
Shreya Ghoshal,0.4721,0.4136,0.9587,0.4448
Jubin Nautiyal,0.4786,0.1876,0.6604,0.2782
Jubin Nautiyal,0.4315,0.3073,0.6287,0.4669
A.R. Rahman,0.6356,0.5793,0.4882,0.5544
Shankar-Ehsaan-Loy,0.6876,0.7617,0.0592,0.6944
Shreya Ghoshal,0.4918,0.4772,0.8967,0.642
Jubin Nautiyal,0.4591,0.3515,0.6521,0.4167
Arijit Singh,0.3928,0.409,0.8366,0.351
AP Dhillon,0.6362,0.6429,0.1339,0.2484
Jubin Nautiyal,0.4174,0.2088,0.4691,0.4532
AP Dhillon,0.5927,0.5408,0.1448,0.3249
Shreya Ghoshal,0.4156,0.415,0.7097,0.6032
Shreya Ghoshal,0.502,0.3745,0.7862,0.4853
AP Dhillon,0.6439,0.5453,0.1092,0.1889
Pritam,0.7642,0.7443,0.0254,0.5506
Yo Yo Honey Singh,0.7875,0.7418,0.0317,0.7219
Shreya Ghoshal,0.5373,0.3978,0.8226,0.548
A.R. Rahman,0.6868,0.5595,0.3753,0.7185
Shreya Ghoshal,0.579,0.4129,0.6727,0.5075
Jubin Nautiyal,0.4764,0.3326,0.6313,0.3943
Badshah,0.8008,0.9069,0.0453,0.7783
Nucleya,0.6243,0.9697,0.0336,0.3553
Badshah,0.8274,0.847,0.035,0.8067
Jubin Nautiyal,0.51,0.3762,0.5842,0.3547
Shreya Ghoshal,0.5117,0.3988,0.8203,0.5293
